State,Library ID,Submission Year,Library Name,Street Address,City,Zip Code,Longitude,Latitude,State Code,County Code,County,County Population,Public Library Definition,Legal Basis,Administrative Structure,Interlibrary Relationship,Service Population,Service Population Without Duplicates,Central Libraries,Branch Libraries,Bookmobiles,MLS Librarians,Librarians,Employees,Total Staff,Local Government Operating Revenue,State Government Operating Revenue,Federal Government Operating Revenue,Other Operating Revenue,Total Operating Revenue,Salaries,Benefits,Total Staff Expenditures,Print Collection Expenditures,Digital Collection Expenditures,Other Collection Expenditures,Total Collection Expenditures,Other Operating Expenditures,Total Operating Expenditures,Local Government Capital Revenue,State Government Capital Revenue,Federal Government Capital Revenue,Other Capital Revenue,Total Capital Revenue,Total Capital Expenditures,Print Collection,Digital Collection,Audio Collection,Downloadable Audio,Physical Video,Downloadable Video,Local Cooperative Agreements,State Licensed Databases,Total Licensed Databases,Print Subscriptions,Hours Open,Library Visits,Reference Transactions,Registered Users,Circulation Transactions,Interlibrary Loans Provided,Interlibrary Loans Received,Library Programs,Children’s Programs,Young Adult Programs,Library Program Audience,Children’s Program Audience,Young Adult Program Audience,Public Internet Computers,Internet Computer Use,Wireless Internet Sessions,Start Date,End Date
AK,AK0001,2015,ANCHOR POINT PUBLIC LIBRARY,72551 MILO FRITZ AVENUE,ANCHOR POINT,99556,-151.8400068,59.7796042,2,122,KENAI PENINSULA,57477,Y,NP,SO,NO,2059,2059,1,0,0,0,0.68,0,0.68,0,18993,2821,7113,28927, , , ,3021,0,1009,4030, ,21282,0,0,0,12765,12765,0,16843,0,258,0,4159,0,0,49,49,7,1377,5379,550,396,11607,0,28,17,15,0,146,128,0,8,1675,0,07/01/2013,06/30/2014
AK,AK0002,2015,ANCHORAGE PUBLIC LIBRARY,3600 DENALI STREET,ANCHORAGE,99503,-149.876781,61.187677,2,20,ANCHORAGE,301010,Y,CO,MO,NO,300549,300549,1,4,0,20.6,29.1,49.8,78.9,10448481,56724,157386,183440,10846031,3214218,2853883,6068101,700747,198422,253111,1152280,3690161,10910542,0,1825000,0,0,1825000,0,481861,9773,28552,10496,63779,0,14,49,63,751,10208,942873,98871,119619,1886620,5359,2254,1435,906,412,68778,41259,9656,135,138689,0,01/01/2013,12/31/2013
AK,AK0003,2015,ANDERSON VILLAGE LIBRARY,101 FIRST STREET,ANDERSON,99744,-149.1786346,64.3435982,2,68,DENALI,1921,Y,CI,SO,NO,209,209,1,0,0,0,0.25,0.25,0.5,1000,6300,0,3429,10729, , , ,2206,425,877,3508, ,11449,0,0,0,0,0,0,15304,0,48,0,1091,0,0,49,49,1,480,874,300,161,1092,0,0,7,7,0,16,16,0,4,480,0,07/01/2013,06/30/2014
AK,AK0006,2015,KUSKOKWIM CONSORTIUM LIBRARY,420 CHIEF EDDIE HOFFMAN HIGHWAY,BETHEL,99559,-161.8029566,60.7857552,2,50,BETHEL,17868,Y,MJ,SO,NO,6241,6241,1,0,0,1,1,2,3,67600,6600,0,184800,259000,167806,72679,240485,8295,1635,4871,14801,5926,261212,0,0,0,0,0,0,34115,165,434,0,2345,0,138,49,187,50,2912,44980,1200,1500,12347,38,76,107,37,1,815,417,15,9,20000,0,07/01/2013,06/30/2014
AK,AK0007,2015,BIG LAKE PUBLIC LIBRARY,3140 SOUTH BIG LAKE ROAD,BIG LAKE,99652,-149.818403,61.546612,2,170,MATANUSKA-SUSITNA,97882,Y,CO,SO,NO,12793,12793,1,0,0,0,1,2,3,339574,6600,4979,0,351153,154145,119727,273872,21552,0,0,21552,52251,347675,0,0,0,0,0,0,23810,9773,1813,10496,2623,0,1,49,50,52,2548,43285,3469,3878,59630,118,147,296,118,11,6316,3893,1396,22,11301,5148,07/01/2013,06/30/2014
AK,AK0008,2015,CANTWELL COMMUNITY LIBRARY,1 SCHOOL ROAD,CANTWELL,99729,-148.757407,63.461051,2,68,DENALI,1921,Y,NP,SO,NO,182,182,1,0,0,0,1,0.5,1.5,4000,6600,7000,2640,20240, , , ,4846,0,637,5483, ,20720,0,0,0,0,0,0,14550,0,208,0,315,0,1,49,50,12,750,3000,380,170,5064,20,50,27,23,1,169,116,3,1,700,500,07/01/2013,06/30/2014
AK,AK0011,2015,CHINIAK PUBLIC LIBRARY,43318 SPRUCE WAY,CHINIAK,99615,-152.2325806,57.6122291,2,150,KODIAK ISLAND,13986,Y,NP,SO,NO,48,48,1,0,0,0,0,0.11,0.11,3000,25020,6560,44065,78645, , , ,4123,224,1801,6148, ,78540,0,0,0,0,0,0,4893,40,246,0,630,0,0,49,49,27,720,1029,72,55,1118,0,0,53,49,0,388,369,0,11,436,200,07/01/2013,06/30/2014
AK,AK0014,2015,COLD BAY PUBLIC LIBRARY,10 BARANOV ROAD,COLD BAY,99571,-162.7133916,55.206634,2,13,ALEUTIANS EAST,3360,N,NP,SO,NO,89,89,1,0,0,0,0,0,0,3300,18540,2642,50453,74935, , , ,2164,0,1774,3938, ,71103,0,0,0,0,0,0,7033,5,191,0,3298,0,0,49,49,21,480,1600,50,105,1939,0,0,32,32,0,306,306,0,6,427,0,07/01/2013,06/30/2014
AK,AK0015,2015,COOPER LANDING COMMUNITY LIBRARY,MILE .8 BEAN CREEK ROAD,COOPER LANDING,99572,-150.010519,60.487401,2,122,KENAI PENINSULA,57477,Y,NP,SO,NO,295,295,1,0,0,0,0.1,0,0.1,0,9787,5856,24156,39799, , , ,4788,0,500,5288, ,30060,0,0,0,0,0,0,3778,121,219,0,682,0,0,49,49,2,1092,3349,160,545,3210,0,79,23,8,1,1005,691,30,4,355,250,07/01/2013,06/30/2014
AK,AK0016,2015,CORDOVA PUBLIC LIBRARY,622 FIRST STREET,CORDOVA,99574,-145.766031,60.5479952,2,261,VALDEZ-CORDOVA,9488,Y,CI,SO,NO,2286,2286,1,0,0,0,3.75,1,4.75,472653,9047,11615,14929,508244,269032,109581,378613,9164,1500,352,11016,80356,469985,0,1000000,0,0,1000000,0,20459,9773,350,10496,1328,0,1,49,50,32,2652,22918,972,2073,13370,0,295,188,135,0,3054,2525,0,5,6671,4522,01/01/2013,12/31/2013
